fen,phase,eco
3r3k/p6p/6p1/8/P3p2P/4b1P1/2q2PK1/8 w - - 0 39,middlegame,
r1bqkbnr/pp3ppp/2n1p3/2ppP3/5P2/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 2 6,opening,B10
rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 1 4,opening,A40
2r5/pp2ppk1/3p4/5Pp1/4P1Qr/4b3/PPP3K1/8 w - - 0 28,middlegame,
8/1k6/3bp1R1/1P1p4/3P1PP1/1r2P1KP/8/8 b - - 0 48,middlegame,
4r3/pR3p2/5kp1/7p/P1P1B3/1PR3P1/1r3P1P/6K1 b - - 0 27,middlegame,
2k1r1r1/4bR2/3qP3/1Q1p4/3P2Bp/2P4P/1P3RK1/8 b - - 0 33,middlegame,
r1bqkbnr/pp1ppp1p/2n3p1/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,B32
rnbqkb1r/pp3ppp/2p1pn2/8/2PPN3/8/PP3PPP/R1BQKBNR w KQkq - 1 6,opening,D31
8/1k3ppp/N7/1PP5/P7/2PK3P/6P1/2b5 b - - 0 38,middlegame,
6k1/5p1p/1p4p1/p3p3/2PpP2P/1P4P1/P5K1/8 w - - 0 39,endgame,
r3r2k/pp4pp/5p2/8/1q1pP3/3P2PB/4NK1P/8 w - - 0 38,middlegame,
1k2r3/2p4p/1p1p4/6p1/8/1K1R4/PP3q1P/8 w - - 2 36,middlegame,
4Q3/4Q3/8/1k3K2/8/8/P7/8 b - - 2 78,middlegame,
rnbqkb1r/ppppp2p/5np1/5p2/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,opening,A10
8/4R3/8/1P6/5k2/4p3/1r4PK/8 w - - 1 48,endgame,
8/1r6/2p2k2/2PnR2R/3P4/1p2PKP1/5P2/8 w - - 0 43,middlegame,
rnbqkb1r/ppppnppp/4p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,opening,A40
r1b1kbnr/ppqnpppp/2pp4/8/3PPP2/2N5/PPP3PP/R1BQKBNR w KQkq - 3 5,opening,B07
8/8/2B4R/2kP3P/8/7r/2K5/8 b - - 0 59,middlegame,
r4rk1/pp3pp1/1b5p/1B1p4/4n3/2P1Pq2/PP1BN2Q/R4b1K w - - 0 25,middlegame,
5rk1/2pb2pp/1p1p4/p2Pnp2/P1r5/7P/1B4P1/RB3R1K w - - 0 24,middlegame,
r3k3/3qn3/2bp3Q/npp5/4PP2/3P1NN1/1PP3PP/5R1K w - - 1 28,middlegame,
3qk3/1p2ppb1/p2p2p1/6n1/3N2n1/Q7/PPP5/2K1R1B1 b - - 1 21,middlegame,
1k1R3r/1p3p1p/p1q2p2/1nb5/5P2/2N1PQ1B/PPP2P1P/2K3R1 b - - 0 17,middlegame,
8/3k4/8/1R4P1/7P/8/q1K3P1/8 w - - 1 57,middlegame,
5k2/5p2/p4p2/1RN3p1/7p/5n1P/Pr5r/2R3K1 w - - 0 36,middlegame,
2r5/5rpk/p2p1p2/7P/6b1/8/P2B3K/8 w - - 0 40,middlegame,
8/p1R4p/b3p1kP/3pPp2/3q1p2/3r2P1/P5QK/8 w - - 2 39,middlegame,
rnbqkb1r/ppppp1pp/5n2/5p2/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 2 3,opening,A10
8/8/2p5/3p2kp/3P4/1P5p/P1P5/2K5 w - - 0 42,endgame,
r1bqkbnr/pp1npppp/2pp4/8/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 1 4,opening,B07
r4rk1/5pbp/3p1Pp1/p2P4/1p3R2/5NQ1/P5PP/1b1q2K1 w - - 0 32,middlegame,
2kr3r/1pp5/1p1b4/3q1p2/3p1Bp1/3P1PP1/P3Q2p/2R2R1K b - - 1 25,middlegame,
rn1k2nr/pb1p3p/1p1p2p1/6q1/2B2p2/2B4Q/PPP3PP/4RRK1 w - - 2 17,middlegame,
rnbq1rk1/ppppnpbp/4p1p1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQ - 4 6,opening,B06
2r1k2r/4np2/p1q1p1Pb/2p5/4PN1P/2N1BP2/PPPR4/2K3R1 b k - 0 22,middlegame,
8/2R5/5k2/3P4/1p1PBn2/5P2/PK5r/8 w - - 1 40,middlegame,
rnbqkb1r/pppp1ppp/8/4p3/2B1nP2/8/PPPP2PP/RNBQK1NR w KQkq - 0 4,opening,C23
1R6/p7/1p1p1k1p/1P1P1p2/P3pr2/8/4K3/8 w - - 0 49,middlegame,
rnbqkb1r/pppppppp/8/4P3/8/2n5/PPPP1PPP/R1BQKBNR w KQkq - 0 4,opening,B02
2r1qrk1/8/pp2p2p/3p2p1/4n3/1P1Q1P2/Pb4PP/R3R1K1 w - - 0 28,middlegame,
3r3r/ppk2p2/2p1b2p/2n1b1p1/2P1Bp2/BP5P/P5P1/3R1RK1 w - - 0 21,middlegame,
4k1nr/p1p4p/1pN1Qp2/6p1/5P2/8/PPP1PP1P/2KN3R b k - 0 17,middlegame,
r2qkn1Q/pp2np1p/2b4B/2b5/8/2N2NP1/PP2PPBP/R4RK1 b q - 2 14,middlegame,
r1b1kbnr/pp1p1ppp/1qn1p3/8/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq - 0 6,opening,B22
r1k2b1r/1p1qp1pp/pQn5/8/2b2B1N/8/P5PP/1R2R1K1 w - - 0 23,middlegame,
2r3k1/7p/3q2p1/1R3p2/3B1P2/1P1QP1PP/P1r4K/8 w - - 1 40,middlegame,
5brk/p1q1rp2/1p5p/2p1p1pn/3pP1n1/P2P3P/1PPB1Q2/R5RK w - - 0 31,middlegame,
rnbqkb1r/pp3ppp/2p2n2/3p4/3P1B2/2N5/PP2PPPP/R2QKBNR w KQkq - 2 6,opening,D30
4r3/1p6/8/p7/P3P1k1/1PKP4/2P4B/8 w - - 1 42,middlegame,
8/1Q4pp/2p2n1k/2qP4/8/1P4P1/1KP1RPB1/8 b - - 0 32,middlegame,
r1b2rk1/pp5p/5p2/2pp2p1/6n1/2PP2q1/PPQ3B1/RN3RK1 w - - 0 19,middlegame,
1k5r/ppp2npp/8/2b5/8/6P1/PP4bP/R2R3K w - - 0 24,middlegame,
rnb1kb1r/ppppqppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,opening,C40
r1b1k2r/ppppqppp/2n5/4n3/1bB5/2N2N2/PB2QPPP/R4RK1 w kq - 0 11,middlegame,
rn1qkbnr/ppp2ppp/3pp3/8/4P1Q1/2N5/PPPP1PPP/R1B1KBNR w KQkq - 0 4,opening,B07
7R/p7/1p4k1/6p1/5p2/8/PP2K3/8 b - - 0 40,endgame,
8/5k2/p5pb/3pBp2/2p1pP2/PP6/K7/8 w - - 0 35,middlegame,
2r1n1k1/2p3p1/p3q2p/1p2pbP1/PP2p2P/2Q5/2P2PB1/3rR1K1 w - - 0 29,middlegame,
7r/6p1/p1kPBn1p/2P5/5B2/8/P5PP/2K1R3 w - - 1 26,middlegame,
8/B7/8/1p1n1k2/2pP4/2P5/P1PK1P2/8 w - - 1 38,endgame,
r1b2rk1/pp3qN1/1np2n1p/8/2P5/2N3P1/PP2QPBP/R1B2RK1 b - - 0 17,middlegame,
8/5Q1k/2P3pp/4q3/8/4P2P/3r1PP1/2R3K1 b - - 0 37,middlegame,
r4rk1/3P2p1/6p1/2QP3p/8/K4PB1/P1P5/7R w - - 1 35,middlegame,
4r1k1/ppp3pp/5p2/2P5/3q4/5Q2/6PP/4R2K w - - 0 25,middlegame,
rnbqk1nr/ppp1ppbp/6p1/4p3/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 5,opening,B06
rnbqkbnr/pppp2pp/4p3/5p2/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,opening,C01
r5k1/p5pp/2p1p1r1/5p2/3P1P2/1Pq5/P4Q2/1b1KR3 w - - 0 30,middlegame,
6k1/p3qpp1/1p3b1p/2pr4/4PB2/1P3Q2/P3K3/5R2 w - - 0 35,middlegame,
4rrk1/pp3ppp/3R2B1/8/8/1P2P1PP/PBP5/5RK1 b - - 0 24,middlegame,
6R1/3k4/3p2p1/8/4b1P1/1pb4P/2p5/2K5 w - - 0 46,middlegame,
2R5/4k3/p5r1/6pp/3R4/1P3P2/P5PP/3K4 w - - 0 44,middlegame,
2r2bk1/pp1q4/2n1bppp/3B4/2N5/P1P1PN2/1PQ2PPP/3R1RK1 b - - 0 21,middlegame,
8/p1r5/Pp1N1bk1/7p/3PPp1P/8/1P3BP1/R5K1 b - - 0 35,middlegame,
2r5/7p/1R1p2k1/1P1Pp3/P7/6PP/6BK/8 b - - 0 42,middlegame,
3R4/pb2r1kp/1pp3pq/2b3nn/P1P1PB2/1PQ2P2/4B1PP/1N2RN1K b - - 2 28,middlegame,
r2qkb1r/pp1npppp/2p2n2/3p4/6b1/3P1NP1/PPPNPPBP/R1BQK2R w KQkq - 3 6,opening,A04
R5k1/1p4pp/2p2p2/4p3/1p1r4/1n2N2P/1P3PP1/6K1 b - - 1 31,middlegame,
1r2k2r/1Pp2ppp/1n1B4/1p6/8/2N5/PPP2PPP/2KR3R b k - 0 16,middlegame,
rnbqkbnr/ppp2ppp/8/3pP3/8/2p5/PP3PPP/RNBQKBNR w KQkq - 0 5,opening,C21
5r1k/1b3pp1/1P2pq1p/6r1/3N4/P2BP1Q1/5PPP/2R1R1K1 w - - 1 24,middlegame,
4r1k1/pp6/2p4p/4q3/2P1R1P1/2P3P1/P3Q1B1/5RK1 b - - 0 29,middlegame,
8/8/2k5/8/2p5/P1N4r/1K6/8 w - - 0 50,endgame,
8/6p1/4kp1p/1N6/1P6/8/n4PPP/5K2 w - - 1 36,endgame,
1r4nN/1p1bb2p/1kp1p3/3pPp2/RP1P1Pp1/2N5/1PP2BPP/4KB1R b K - 2 24,middlegame,
rnbqk2r/ppppbppp/4pn2/8/3P4/2P1PN2/PP3PPP/RNBQKB1R w KQkq - 1 5,opening,A46
r2q1b1N/pbp2k1p/2p2n2/4Q3/3pPP2/8/PPP3PP/RNB1K2R b KQ - 0 12,middlegame,
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,D94
8/5R1p/1p1k4/6p1/6P1/4P2P/P3KP2/8 w - - 0 32,endgame,
r1bqkb1r/pp1p1ppp/2n1pn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,opening,B45
rnbqkb1r/ppp2ppp/8/3p4/2B1n3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 6,opening,C42
rnbqkb1r/p3pp1p/3p1np1/1ppP4/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6,opening,A57
1Q6/6pk/7p/3qP3/2pP4/P3K1PP/P7/8 b - - 0 45,middlegame,
2k5/8/r1p3R1/2p5/8/p5B1/PPP3PP/3K4 w - - 0 28,middlegame,
8/p7/1p6/2p2p2/3b2k1/6P1/PP4P1/5K2 w - - 1 43,endgame,
rnbqk2r/ppppbppp/4pn2/8/8/1P4P1/PBPPPP1P/RN1QKBNR w KQkq - 1 4,opening,A01
r1bqkb1r/ppp1pppp/2n5/3n4/2BP4/8/PPP2PPP/RNBQK1NR w KQkq - 2 5,opening,B01
8/8/2p1p1k1/p1P5/P2P1P1p/4K2P/8/8 w - - 0 44,endgame,
3k4/pp3pp1/7p/2p4P/5P2/2PB4/P5K1/8 b - - 0 42,endgame,
8/4k3/p1p1p2p/3pPp2/1P1P1P2/P4KP1/8/8 b - - 1 40,endgame,
r2qkbnr/ppp3pp/2np4/4Pb2/8/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,opening,C41
8/8/8/2Rk3p/6p1/8/5PKP/8 b - - 0 53,endgame,
4r1k1/Rp3p2/1rp3pp/5p2/n1P2P2/5KP1/7P/3R4 w - - 0 31,middlegame,
rnbqkb1r/pp2pppp/2p2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 5,opening,D00
4k3/6R1/2p1r2p/3p4/1P1P4/P2K3P/5PP1/8 b - - 0 46,middlegame,
8/p2rk3/b7/7R/5B2/P1Rp2P1/1P1K1P2/8 b - - 0 30,middlegame,
5Q2/8/6p1/4k3/Pp2P1P1/1P1K4/8/8 b - - 0 46,middlegame,
8/2R3k1/p4p1n/4p1p1/4P1Pn/8/4N2K/5r2 b - - 1 39,middlegame,
3r3k/6pp/1Q6/8/2B5/1P6/r4PPP/5RK1 b - - 0 33,middlegame,
8/8/p6p/1p3kp1/3Kp3/P7/1P6/6R1 b - - 0 54,endgame,
r6r/pp4kp/2p2P1n/3pp1p1/8/2PP4/PP4K1/3B3R b - - 0 32,middlegame,
r4rk1/pp2p2p/2p5/2n2p2/2P2Bp1/2b3P1/PP5P/1K1RR3 w - - 0 23,middlegame,
8/1bk5/p3B3/1p4N1/3N1PP1/P7/1P3K2/1r6 b - - 0 45,middlegame,
1RQ5/5ppk/4pnp1/5q2/7P/8/2r2P2/1K6 w - - 0 33,middlegame,
8/1p1k3p/1Pp3p1/2P5/3KB2P/6P1/8/8 b - - 0 36,endgame,
r3k1nr/ppp2ppp/2nb4/2P2b2/PP2p3/6P1/4PPBP/qN2NRK1 w kq - 0 13,middlegame,
8/3R3p/8/2PN1p1r/2Pp4/1P5P/P1k4K/8 b - - 2 49,middlegame,
r1bqkb1r/pp1p1ppp/2n1pn2/8/3N4/6B1/PPP1PPPP/RN1QKB1R w KQkq - 1 6,opening,A46
rn1qkbnr/pb1p1ppp/1p2p3/2p5/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,B00
2r2rk1/1b4pp/p3pq2/1p2N3/3P2p1/P7/1P1Q1P2/1BR1n1K1 w - - 0 26,middlegame,
2r1r1k1/R3bppp/4p1b1/1Q2B3/2nPP3/5NP1/1P3PBP/4R1K1 w - - 1 21,middlegame,
5rk1/pp4pp/2p1p3/2qr1pP1/4pP2/7P/PP2QRK1/4R3 w - - 0 24,middlegame,
rnbk2nr/ppp2ppp/8/4p3/1bP5/2N5/PP2PPPP/R1B1KBNR w KQ - 2 6,opening,A41
2k4r/p1qb1ppp/B4n2/8/1B1QP3/2P2P2/P5PP/R3K2R b KQ - 0 19,middlegame,
rnbqkbnr/pp3ppp/8/3p4/2pP1P2/5N2/PPP3PP/RNBQKB1R w KQkq - 0 6,opening,B21
rnbqkb1r/ppp1pppp/5n2/8/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,opening,B01
rnbqkbnr/pppp1p2/7p/6p1/2BPPp2/8/PPP3PP/RNBQK1NR w KQkq - 0 5,opening,C33
r2qkbnr/pppb1ppp/2np4/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 5,opening,C62
8/8/1k3N2/8/P3R3/7P/r7/6K1 b - - 2 54,middlegame,
8/5pk1/7p/R7/8/2P5/PPKR1P1r/8 b - - 0 42,middlegame,
rnb1kb2/pp3Q2/2p1pp2/8/4pP2/8/PPPP2PP/RNB1KB1R b KQq - 0 10,middlegame,
Q4rk1/2pqbp2/4p1np/3pP1p1/P2P4/2N2N2/1PP2PPP/2R2RK1 b - - 0 16,middlegame,
r1b1k2r/ppB2pp1/2n1pq2/1P6/2PP3p/4P2P/1P2P1P1/R2QKBNR b KQkq - 0 12,middlegame,
k1r5/pp3p1p/7B/4Q1P1/3NP2P/2q5/P1P2P2/1K6 b - - 0 37,middlegame,
8/5k2/7p/1p4p1/8/P1P5/1P5K/8 w - - 0 45,endgame,
8/ppk4p/2p1b1p1/8/2P1p3/1P2N1P1/r6r/2R3K1 w - - 0 30,middlegame,
r1bqkbnr/ppn1pp1p/2pp2p1/8/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,opening,A41
8/8/1p3P2/2p1k1P1/p5K1/P7/1P2n3/8 w - - 0 46,endgame,
3k4/8/4B1pp/1p2n3/8/6P1/7P/6K1 w - - 0 42,endgame,
1r3r1k/1p1R1Bnp/p1p5/4P1R1/5P2/4P3/PPP4P/2K5 b - - 0 21,middlegame,
3k4/1pp2p2/p2p4/P4N1p/4p3/1P1qP1P1/3P1n2/2K5 b - - 1 31,middlegame,
6k1/2r2rq1/p1nbBQ2/1p1p4/1P6/P4N1P/1B1N1PP1/4R1K1 b - - 0 25,middlegame,
r1b1kb1r/ppp2ppp/2n5/4p3/8/1P3PP1/P1PBQ2P/q3K1NR w Kkq - 0 13,middlegame,
rnbqkbnr/pp3ppp/2p5/4p3/B3p3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,opening,C40
r2N1k1r/5pp1/p2b3p/1p6/2p1n3/7P/P4PP1/R3R1K1 w - - 0 23,middlegame,
8/3p4/1n1k3K/1P2p3/5p2/8/7P/2R5 b - - 0 51,endgame,
3k4/p2r1q2/1p6/3pB1R1/3Pp2Q/1P2P2P/P5P1/6K1 b - - 0 44,middlegame,
8/pp2rk1p/6p1/5q2/5P1K/1P5P/8/8 w - - 0 35,middlegame,
4R3/5pk1/p1Qp2p1/8/1r5P/8/Kq6/8 w - - 0 39,middlegame,
5k2/5p1p/6p1/8/3R2P1/1p6/1PK4P/8 w - - 0 38,endgame,
8/2k5/8/8/1rp1BK2/5P2/8/8 w - - 0 62,endgame,
rnbq1rk1/pp1pppbp/2p2np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 1 6,opening,A15
3R2k1/1p2qp1p/p7/5Q2/8/P3P3/1P3PPP/6K1 b - - 0 27,middlegame,
rnbqk2r/ppppp1bp/5np1/5pB1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 2 5,opening,A80
8/5pk1/4pp1p/3p4/2p1rP2/4K1P1/7P/6R1 w - - 2 42,middlegame,
2kr3r/ppp4p/3p4/3npp1Q/4q3/2P1b3/PPN3NP/2KR1R2 w - - 0 22,middlegame,
7r/3nb1p1/1k1pB1Pp/p3p3/1p2b3/2P2R2/PP6/2K4R b - - 1 31,middlegame,
r1bqkbnr/pp1p1ppp/8/2p5/3Bp3/1P6/P1PPPPPP/RN1QKB1R w KQkq - 0 6,opening,A04
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/P7/1PPP1PPP/RNBQK1NR w KQkq - 0 4,opening,B20
rnbqkb1r/ppp1pp1p/3p1np1/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,opening,A45
r1bqk1nr/1pp2ppp/p1np4/1Bb1p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 0 6,opening,C64
8/1p6/p1p5/1r6/K1k5/8/8/3q4 w - - 0 65,middlegame,
rnbqkb1r/ppppnppp/8/4P3/3P1p2/5N2/PPP3PP/RNBQKB1R w KQkq - 1 6,opening,C34
4r1k1/1q3pp1/2p3p1/P2pr3/3N4/2P1P1Q1/1P3PPP/2KR3R b - - 0 24,middlegame,
r1bqkbnr/pppp2pp/2n5/4pp2/4P3/3P1P2/PPP3PP/RNBQKBNR w KQkq - 0 4,opening,C20
7B/2kN4/4p1P1/R2b4/5P2/4K3/8/8 b - - 0 39,middlegame,
4r1k1/1p3rbp/6p1/pR6/5pP1/2P2Pq1/P3K1P1/8 w - - 0 37,middlegame,
8/8/BN3k1p/P1N3p1/8/2P1P1n1/1P6/3b2K1 b - - 0 35,middlegame,
rn1qkb1r/pp1bpppp/5n2/1B1P4/1p1P4/8/P1P2PPP/RNBQK1NR w KQkq - 3 6,opening,B20
rn1qkbnr/pbpp1pp1/1p2p2p/8/3PP3/P1N5/1PP2PPP/R1BQKBNR w KQkq - 1 5,opening,C00
r2qr1k1/p4p2/7Q/3pB1p1/3P4/P4BPP/1P1nPPK1/5R2 b - - 0 21,middlegame,
rnb1kb1r/ppp1pppp/3q1n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 4 4,opening,D03
2kr4/pbpp1p2/q3pbp1/pQ6/3P4/2P1BN2/2P2PP1/4K3 w - - 0 19,middlegame,
rnbqk2r/ppp1ppbp/3p1np1/8/3P4/3BP3/PPP1NPPP/RNBQK2R w KQkq - 0 5,opening,A00
3r4/pp1r4/6pk/8/1P2p2p/P2B2nP/8/4R1K1 b - - 1 40,middlegame,
r1bqkbnr/pp1ppp1p/2n3p1/8/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,opening,A43
8/5pk1/6p1/8/R4Kn1/1r6/8/8 w - - 0 60,middlegame,
rnb1kbnr/ppqp1ppp/8/2p1p3/1P2P3/5N2/P1PP1PPP/RNBQKB1R w KQkq - 2 4,opening,B20
r2qkbnr/ppp2ppp/2np4/4p3/2B1PPb1/5N2/PPPP2PP/RNBQK2R w KQkq - 4 5,opening,C30
8/3k1p1p/5P2/1pR5/8/8/P6P/7K w - - 1 37,endgame,
8/6p1/p2kb2p/4p3/3p4/P3r3/1K3RPP/8 w - - 2 41,middlegame,
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,opening,D02
r1b2rk1/pp4pp/1np1p1n1/2b1P3/1Pp2P2/6P1/P5BP/R1BR2K1 w - - 0 18,middlegame,
5bk1/5p2/1p2pQp1/3pP3/1n1P4/q5P1/2nN1P1N/5bK1 w - - 2 36,middlegame,
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5,opening,A10
8/p4k2/2Q1p3/2Pp1p2/1P2b3/P1P1P1B1/4q1P1/5RK1 w - - 1 42,middlegame,
rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,opening,A95
r1bqkb1r/pp2pppp/2n2n2/2pp4/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq - 1 5,opening,A01
8/p3b1k1/3p2P1/2R1p1p1/4P1P1/3P3P/P3B2K/8 b - - 0 38,middlegame,
4r1k1/1R5p/4p3/3nN1P1/p4P2/P5P1/1P1r1P2/4R1K1 b - - 0 35,middlegame,
1kn2R2/8/1p4bp/2q1p3/Q2p4/3P3P/7K/8 w - - 0 39,middlegame,
2kr1r2/ppp4p/5PpP/8/4N1b1/2P2N2/PP5P/R1BRK3 b - - 0 22,middlegame,
5rk1/p3b1pp/2q2n2/3p1p2/Pp6/6Q1/1B3PPP/2R3K1 b - - 1 30,middlegame,
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,opening,C00
3rk3/r6p/p7/b3PNp1/2BP4/P1P3PP/7K/5R2 b - - 2 38,middlegame,
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2N5/PPP1NPPP/R1BQKB1R w KQkq - 0 6,opening,C10
rnbqkbnr/1pp1ppp1/p2p3p/8/P2P4/5N2/1PP1PPPP/RNBQKB1R w KQkq - 0 4,opening,A41
8/8/p1b5/1p3k2/7R/1P3PK1/P4P1P/8 b - - 1 39,middlegame,
r1bqk2r/pp1p1p2/2n1p1pp/6b1/2Bp4/2P5/PP3QPP/RNB2RK1 b kq - 1 12,middlegame,
r6k/pp1q3r/2p2Q2/4p3/P3P3/2N3N1/1PP3PP/5RK1 b - - 0 25,middlegame,
r1bqkb1r/pppp1ppp/5n2/1B6/3pP3/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 6,opening,C48
5nk1/1p1r2pp/5p2/1P2p3/1p5P/2R5/5PP1/2K5 w - - 0 28,middlegame,
8/1qr3Q1/2k1p2p/1p1p1p2/1P1P3P/P1P2P2/1KR3P1/2R5 w - - 0 40,middlegame,
rnbqkbnr/pppp1pp1/7p/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,opening,C34
8/3k4/1p4p1/2p1b2p/6p1/6P1/1P1N2K1/8 b - - 1 42,endgame,
8/8/P4R2/1k5p/3K2P1/6P1/4rP2/8 b - - 0 57,middlegame,
rnbqk2r/ppppbppp/4pn2/8/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,A46
4r1k1/pp1b2p1/5p2/3p1P1p/8/1PK5/P1nN2RP/8 w - - 0 29,middlegame,
r1bqk1nr/pp1nbppp/2pp4/4p3/2BPP3/5N2/PPP2PPP/RNBQ1RK1 w kq - 3 6,opening,C41
r3k2r/pp1n2pp/2p1bp2/4p3/8/2q2N2/2P1BPPP/1KQRR3 w kq - 0 16,middlegame,
8/p4ppk/6bp/q7/7P/1P6/2r3P1/1K6 w - - 0 37,middlegame,
5r2/1R3pkp/2pN2p1/8/3p4/3PnR1P/3r4/7K w - - 2 26,middlegame,
r5k1/pb1N1p2/4pb1p/1r6/8/2p1R3/P4P1P/2R3K1 w - - 0 29,middlegame,
8/p4pk1/2p1p1p1/4P1P1/3P3p/P1P5/8/3K4 b - - 0 44,endgame,
rn1qkb1r/ppp1pppp/3p1n2/8/3PP3/2N2b2/PPP2PPP/R1BQKB1R w KQkq - 0 5,opening,B07
3r3r/p2b2b1/3knn2/6R1/6p1/8/PPP4P/1K6 b - - 1 33,middlegame,
1b2k3/4n3/1p1NQ1p1/7p/4PP2/6P1/1PK4P/7R b - - 2 29,middlegame,
rnb1k1nr/ppp2p1p/3p1qp1/2b1p2Q/2B1P3/2N2N2/PPPP1PPP/R1B1K2R w KQkq - 0 6,opening,C20
8/1r4k1/3R4/3p2P1/3P4/8/4K3/8 w - - 0 61,endgame,
4k3/p1p4Q/3p1K2/8/3P2P1/2P5/PP6/8 w - - 1 43,middlegame,
r7/2p4p/1p1k4/1P1P3p/2KpPp1P/2b2P2/8/8 b - - 0 42,middlegame,
rnb1k1nr/pp2q2p/2p3p1/2Pp4/3Pp3/1N4b1/PP2Q3/RNBK1B1R b kq - 1 14,middlegame,
2kr1b1r/7p/3p4/1Np3p1/Pp3p2/1B3nnP/1P1B2P1/3R2K1 w - - 0 26,middlegame,
3r1q2/6kp/3rB1p1/2p2pP1/2P5/pK1R4/Pb6/3R4 b - - 1 35,middlegame,
4kB2/p3bp1Q/1p2p1p1/2p4p/5K1P/2q2R2/5PP1/8 b - - 1 32,middlegame,
rn3rk1/p1p2pp1/1p2p2p/4P3/3N1q2/2BP4/PPP1Q1bn/R2K2R1 w - - 0 18,middlegame,
8/6pp/2Pk4/3nP3/1p2K2P/1P4P1/8/8 b - - 0 49,endgame,
rnbqkb1r/ppp2ppp/4pn2/8/2P5/2N2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 6,opening,B01
2kr3r/ppp2pp1/2q1bn1p/4p2P/4p3/BnP3PR/3PQPB1/1N2K1N1 w - - 0 14,middlegame,
rnbqkbnr/p3pppp/1ppp4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,A41
6k1/5pp1/p3p2p/1p1pn3/P7/2r5/5PPP/1R1R2K1 w - - 0 29,middlegame,
4rrk1/1b4b1/6p1/1p2p2p/7P/4B3/P5pK/1BRR4 w - - 0 28,middlegame,
rnbqkb1r/ppp3pp/4pn2/2Pp1p2/3P4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 5,opening,A80
r1b1Q3/ppqn3k/2nb2pp/3pNB2/3P1P2/1P6/PBPN2PP/R4R1K w - - 0 19,middlegame,
6k1/p1p4p/1pP4r/2pb4/8/6K1/PP6/5R2 w - - 0 34,middlegame,
r1b2rk1/7p/p1nqp1p1/2pn1p2/2p5/P2B1N2/1PQ2PPP/2KRR3 w - - 0 22,middlegame,
rnbqk2r/ppp2pbp/4pnp1/3p4/8/1P1P2P1/PBP1PPBP/RN1QK1NR w KQkq - 1 6,opening,A01
